"","act","scene","speaker","n"
"2246","Tredje akt","Scene 6","Harlekin",35
"2247","Tredje akt","Scene 6","Henrik",38
"2248","Tredje akt","Scene 6","Jeronimus",83
"2249","Tredje akt","Scene 6","Jesper",4
"2250","Tredje akt","Scene 6","Jomfruen",5
"2251","Tredje akt","Scene 6","Leander",35
"2252","Tredje akt","Scene 6","Leonard",27
"2253","Tredje akt","Scene 6","Leonora",11
"2254","Tredje akt","Scene 6","Leonore",2
"2255","Tredje akt","Scene 6","Lisbed",13
"2256","Tredje akt","Scene 6","Magdelone",20
"2257","Tredje akt","Scene 6","Mandane.",15
"2258","Tredje akt","Scene 6","Montanus",3
"2259","Tredje akt","Scene 6","Oldfux",29
"2260","Tredje akt","Scene 6","Paltsgreven",2
"2261","Tredje akt","Scene 6","Pedro",2
"2262","Tredje akt","Scene 6","Pernille",15
"2263","Tredje akt","Scene 6","Plutus",4
"2264","Tredje akt","Scene 6","Rådsherre",2
"2265","Tredje akt","Scene 6","Rådsherren",5
"2266","Tredje akt","Scene 6","Republikken",12
"2267","Tredje akt","Scene 6","Roland",7
"2268","Tredje akt","Scene 6","Rosiflengius",12
"2269","Tredje akt","Scene 6","Sganarel",34
"2270","Tredje akt","Scene 6","Skyldenborg",5
"2271","Tredje akt","Scene 6","Studenstrup",21
"2272","Tredje akt","Scene 6","Trækholdt",10
"2273","Tredje akt","Scene 6","Tyboe",9
"2274","Tredje akt","Scene 6","Tychonius",3
"2275","Tredje akt","Scene 6","Ulysses",3
"2276","Tredje akt","Scene 6","Værten",8
"2277","Tredje akt","Scene 6",NA,39
"2278","Tredje akt","Scene 7","Artabanus.",2
"2279","Tredje akt","Scene 7","Artaxerxes.",8
"2280","Tredje akt","Scene 7","Arv",11
"2281","Tredje akt","Scene 7","Baronen",1
"2282","Tredje akt","Scene 7","Barselskvinden",2
"2283","Tredje akt","Scene 7","Betjenten",16
"2284","Tredje akt","Scene 7","Bonden",2
"2285","Tredje akt","Scene 7","Chilian",3
"2286","Tredje akt","Scene 7","Cosmoligoreus",7
"2287","Tredje akt","Scene 7","Dobre Podolsky",5
"2288","Tredje akt","Scene 7","Doktor Bombastus",5
"2289","Tredje akt","Scene 7","Don Ranudo",10
"2290","Tredje akt","Scene 7","Donna Olympia",3
"2291","Tredje akt","Scene 7","Drengen",5
"2292","Tredje akt","Scene 7","Faderen",9
"2293","Tredje akt","Scene 7","Fruens mand",1
"2294","Tredje akt","Scene 7","Henrik",55
"2295","Tredje akt","Scene 7","Jeronimus",66
"2296","Tredje akt","Scene 7","Jesper",2
"2297","Tredje akt","Scene 7","Juveleren",1
"2298","Tredje akt","Scene 7","Kavaleren",3
"2299","Tredje akt","Scene 7","Konen",2
"2300","Tredje akt","Scene 7","Leander",18
"2301","Tredje akt","Scene 7","Leonard",2
"2302","Tredje akt","Scene 7","Leonora",5
"2303","Tredje akt","Scene 7","Leonore",1
"2304","Tredje akt","Scene 7","Lucie",10
"2305","Tredje akt","Scene 7","Magdelone",1
"2306","Tredje akt","Scene 7","Moderen",8
"2307","Tredje akt","Scene 7","Notarius",11
"2308","Tredje akt","Scene 7","Pedro",2
"2309","Tredje akt","Scene 7","Peer",9
"2310","Tredje akt","Scene 7","Pernille",24
"2311","Tredje akt","Scene 7","Plutus",5
"2312","Tredje akt","Scene 7","Rådsherren",6
"2313","Tredje akt","Scene 7","Roland",8
"2314","Tredje akt","Scene 7",NA,22
"2315","Tredje akt","Scene 8","Artabanus.",2
"2316","Tredje akt","Scene 8","Artaxerxes.",5
"2317","Tredje akt","Scene 8","Arv",2
"2318","Tredje akt","Scene 8","Cosmoligoreus",23
"2319","Tredje akt","Scene 8","Den drukne",17
"2320","Tredje akt","Scene 8","Gottfried",4
"2321","Tredje akt","Scene 8","Henrik",33
"2322","Tredje akt","Scene 8","Herren",41
"2323","Tredje akt","Scene 8","Jeronimus",27
"2324","Tredje akt","Scene 8","Leander",13
"2325","Tredje akt","Scene 8","Leonard",2
"2326","Tredje akt","Scene 8","Leonora",8
"2327","Tredje akt","Scene 8","Octavius",4
"2328","Tredje akt","Scene 8","Ovidius",3
"2329","Tredje akt","Scene 8","Peer",4
"2330","Tredje akt","Scene 8","Pernille",7
"2331","Tredje akt","Scene 8","Petronius",26
"2332","Tredje akt","Scene 8","Plutus",13
"2333","Tredje akt","Scene 8","Rosiflengius",9
"2334","Tredje akt","Scene 8","Semira.",2
"2335","Tredje akt","Scene 8","Værten",49
"2336","Tredje akt","Scene 8",NA,16
"2337","Tredje akt","Scene 9","1. vagt",5
"2338","Tredje akt","Scene 9","2. vagt",2
"2339","Tredje akt","Scene 9","Artabanus",2
"2340","Tredje akt","Scene 9","Artaxerxes.",2
"2341","Tredje akt","Scene 9","Arv",2
"2342","Tredje akt","Scene 9","Euclio",5
"2343","Tredje akt","Scene 9","Henrik",35
"2344","Tredje akt","Scene 9","Herren",4
"2345","Tredje akt","Scene 9","Jeronimus",45
"2346","Tredje akt","Scene 9","Leander",40
"2347","Tredje akt","Scene 9","Leonard",15
"2348","Tredje akt","Scene 9","Magdelone",3
"2349","Tredje akt","Scene 9","Mandane.",2
"2350","Tredje akt","Scene 9","Octavius",4
"2351","Tredje akt","Scene 9","Ovidius",20
"2352","Tredje akt","Scene 9","Pernille",3
"2353","Tredje akt","Scene 9","Plutus",6
"2354","Tredje akt","Scene 9","Republikken",4
"2355","Tredje akt","Scene 9","Værten",4
"2356","Tredje akt","Scene 9",NA,17
"2357","Tredje akt","Tredje akt",NA,1
